Combo,Individual,Pheno,ID,Group_n,Group,Group_d,Treatment,Perc_viability,Width_flower,Width_stem,Decomposed,Predator
NA,P2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P2.10.1,P2.10,P2,10,1,July_5,Day 1,Inside,0.3,1.1,0.2,N,N
NA,P2.100,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.101.4,P2.101,P2,101,4,July_25,Day 21,Inside,0,0.9,0.15,N,N
P2.102.2,P2.102,P2,102,2,July_12,Day 7,Outside,0.05,1.1,0.2,N,N
NA,P2.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.104.4,P2.104,P2,104,4,July_25,Day 21,Inside,0,1.2,0.18,N,N
P2.106.1,P2.106,P2,106,1,July_5,Day 1,Inside,0.2,0.5,0.1,N,N
P2.107.1,P2.107,P2,107,1,July_5,Day 1,Inside,0.2,0.9,0.2,N,N
P2.108.1,P2.108,P2,108,1,July_5,Day 1,Outside,0.3,1,0.1,N,N
P2.11.2,P2.11,P2,11,2,July_12,Day 7,Outside,0.05,0.9,0.2,N,N
P2.110.1,P2.110,P2,110,1,July_5,Day 1,Inside,0.45,1,0.1,N,N
P2.111.3,P2.111,P2,111,3,July_18,Day 14,Inside,0,1,0.1,N,N
P2.112.1,P2.112,P2,112,1,July_5,Day 1,Outside,0.05,1.1,0.15,N,N
NA,P2.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
NA,P2.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.115.4,P2.115,P2,115,4,July_25,Day 21,Inside,0,0.8,0.15,N,N
P2.116.2,P2.116,P2,116,2,July_12,Day 7,Inside,0,0.9,0.1,N,N
NA,P2.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.118.4,P2.118,P2,118,4,July_25,Day 21,Inside,0,1,0.2,N,N
P2.119.4,P2.119,P2,119,4,July_25,Day 21,Inside,0,1.2,0.1,N,N
P2.12.3,P2.12,P2,12,3,July_18,Day 14,Outside,0,1,0.1,N,N
NA,P2.120,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.13.3,P2.13,P2,13,3,July_18,Day 14,Inside,0,0.8,0.1,N,N
P2.14.2,P2.14,P2,14,2,July_12,Day 7,Outside,0.1,1,0.17,N,N
P2.15.2,P2.15,P2,15,2,July_12,Day 7,Inside,0,1.1,0.25,N,N
NA,P2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
NA,P2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.18.2,P2.18,P2,18,2,July_12,Day 7,Outside,0.05,0.7,0.12,N,N
P2.19.1,P2.19,P2,19,1,July_5,Day 1,Inside,0.15,1.2,0.2,N,N
P2.2.2,P2.2,P2,2,2,July_12,Day 7,Outside,0.05,1.1,0.15,N,N
P2.20.2,P2.20,P2,20,2,July_12,Day 7,Outside,0,1.1,0.15,N,N
P2.21.1,P2.21,P2,21,1,July_5,Day 1,Outside,0.55,0.8,0.1,N,N
P2.22.2,P2.22,P2,22,2,July_12,Day 7,Outside,0,1.3,0.18,N,N
P2.23.4,P2.23,P2,23,4,July_25,Day 21,Inside,0,0.9,0.22,N,N
P2.24.1,P2.24,P2,24,1,July_5,Day 1,Outside,0.4,1.1,0.14,N,N
P2.25.3,P2.25,P2,25,3,July_18,Day 14,Outside,0,0.9,0.2,N,N
P2.26.1,P2.26,P2,26,1,July_5,Day 1,Inside,0.15,1.2,0.25,N,N
P2.27.4,P2.27,P2,27,4,July_25,Day 21,Outside,0,0.7,0.1,N,N
P2.28.4,P2.28,P2,28,4,July_25,Day 21,Inside,0,0.5,0.1,N,N
P2.29.3,P2.29,P2,29,3,July_18,Day 14,Outside,0,0.9,0.15,N,N
NA,P2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
P2.30.1,P2.30,P2,30,1,July_5,Day 1,Inside,0.25,1,0.2,N,N
P2.31.3,P2.31,P2,31,3,July_18,Day 14,Outside,0,0.9,0.1,N,N
NA,P2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.33.2,P2.33,P2,33,2,July_12,Day 7,Inside,0.05,1,0.21,N,N
P2.35.1,P2.35,P2,35,1,July_5,Day 1,Inside,0.1,1.2,0.2,N,N
NA,P2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N
P2.37.3,P2.37,P2,37,3,July_18,Day 14,Inside,0,0.8,0.12,N,N
